Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
167	Waveform 1	1	892.105283894	894.402905382	0.0	YKD	A	s	c			
167	Spectrogram 1	1	892.105283894	894.402905382	0.0	YKD	A	s	c			
168	Waveform 1	1	893.274249368	896.881918196	0.0	YKD	A	c				
168	Spectrogram 1	1	893.274249368	896.881918196	0.0	YKD	A	c				
169	Waveform 1	1	897.506710159	902.323653455	0.0	YKD	A	c				
169	Spectrogram 1	1	897.506710159	902.323653455	0.0	YKD	A	c				
170	Waveform 1	1	904.439883662	906.672002784	0.0	YKD	A	s	c			
170	Spectrogram 1	1	904.439883662	906.672002784	0.0	YKD	A	s	c			
171	Waveform 1	1	905.739853715	907.709963368	0.0	YKD	A	c				
171	Spectrogram 1	1	905.739853715	907.709963368	0.0	YKD	A	c				
172	Waveform 1	1	910.657570194	914.129195644	0.0	YKD	A	c				
172	Spectrogram 1	1	910.657570194	914.129195644	0.0	YKD	A	c				
173	Waveform 1	1	916.623324544	918.316308799	0.0	YKD	A	s	f			
173	Spectrogram 1	1	916.623324544	918.316308799	0.0	YKD	A	s	f			
174	Waveform 1	1	918.548086561	919.676742730	0.0	YKD	A	c				
174	Spectrogram 1	1	918.548086561	919.676742730	0.0	YKD	A	c				
175	Waveform 1	1	920.372075549	920.991828714	0.0	YKD	A	c				
175	Spectrogram 1	1	920.372075549	920.991828714	0.0	YKD	A	c				
176	Waveform 1	1	921.762741342	925.894429106	0.0	YKD	A	c				
176	Spectrogram 1	1	921.762741342	925.894429106	0.0	YKD	A	c				
178	Waveform 1	1	927.683147842	929.386209384	0.0	YKD	A	s	f			
178	Spectrogram 1	1	927.683147842	929.386209384	0.0	YKD	A	s	f			
177	Waveform 1	1	930.791990952	931.316009888	0.0	YKD	A	c				playback
177	Spectrogram 1	1	930.791990952	931.316009888	0.0	YKD	A	c				playback
